,symbol,price,price_change,price_percent_change
0,TIVC,7.13,3.63,103.71
1,OBLG,3.54,1.4,65.42
2,BOWN,14.5,4.52,45.29
3,TMDE,5.24,1.61,44.35
4,NG,4.35,1.24,39.87
5,SPAI,3.46,0.76,27.96
6,BCTX,5.35,1.16,27.68
7,VCIG,3.57,0.73,25.7
8,AGEN,2.87,0.56,24.24
9,BTDR,9.38,1.78,23.42
10,FMTO,7.33,1.33,22.17
11,CNCK,7.37,1.32,21.82
12,INV,4.37,0.77,21.39
13,CMCT,5.03,0.87,20.91
14,AEHL,3.1,0.52,20.16
15,QSG,4.66,0.78,20.1
16,KRRO,16.34,2.69,19.76
17,AIXI,3.44,0.56,19.44
18,AUUD,3.87,0.61,18.71
19,LRMR,2.38,0.37,18.41
20,ATPC,2.45,0.38,18.36
21,LGPS,4.07,0.62,17.97
22,MASS,5.66,0.86,17.92
23,WULF,2.65,0.4,17.78
24,CLSK,8.77,1.3,17.4
25,RGNX,7.82,1.15,17.24
26,CIFR,2.74,0.4,17.09
27,ZYBT,9.01,1.31,17.01
28,DERM,7.39,1.06,16.75
29,CAPR,13.89,1.97,16.53
30,ZCAR,3.68,0.52,16.46
31,AMLX,4.92,0.69,16.31
32,COYA,6.64,0.93,16.29
33,BCYC,8.73,1.22,16.25
34,RGLS,2.32,0.31,15.42
35,CURI,3.52,0.47,15.41
36,TDUP,3.85,0.51,15.27
37,NGNE,13.83,1.81,15.06
38,PCT,6.39,0.82,14.82
39,GAUZ,10.29,1.3,14.46
40,MARA,14.06,1.77,14.4
41,JNVR,44.86,5.51,14.0
42,ROOT,134.95,16.56,13.99
43,EFX,245.08,29.79,13.84
44,ORKA,10.58,1.28,13.76
45,GRO,2.84,0.34,13.6
46,ENGS,5.85,0.7,13.59
47,ELDN,3.38,0.4,13.42
48,TOI,2.71,0.32,13.39
49,LASE,2.88,0.34,13.39
50,VSTM,7.04,0.83,13.37
51,SLDB,3.43,0.4,13.2
52,RIOT,7.12,0.83,13.2
53,MTEN,6.9,0.8,13.11
54,CALX,37.61,4.36,13.11
55,MBX,8.64,1.0,13.09
56,AAPG,21.6,2.48,12.97
57,BTCT,3.78,0.43,12.84
58,HSAI,13.09,1.48,12.75
59,WGRX,3.5,0.4,12.74
60,ITOS,7.45,0.83,12.54
61,Cayman,6.03,0.67,12.5
62,IPX,21.93,2.43,12.46
63,ATXS,4.62,0.51,12.41
64,GRAL,29.69,3.27,12.38
65,China,15.6,1.71,12.31
66,BLIV,3.76,0.41,12.24
67,LTBR,7.96,0.86,12.11
68,KOD,3.64,0.39,12.0
69,MWYN,4.41,0.47,11.93
70,AVR,3.51,0.37,11.78
71,AMRC,9.68,1.02,11.78
72,WIMI,5.03,0.53,11.78
73,KPTI,6.03,0.63,11.67
74,SNBR,5.94,0.62,11.65
75,NUKK,14.3,1.49,11.63
76,SMLR,33.28,3.45,11.57
77,KZIA,3.44,0.35,11.33
78,BLUE,4.34,0.44,11.28
79,RAPP,11.55,1.17,11.27
80,ALGS,5.14,0.52,11.26
81,OB,3.57,0.36,11.21
82,NVCT,9.27,0.93,11.15
83,MTSR,21.68,2.17,11.12
84,DNLI,14.6,1.45,11.03
85,MGTX,6.27,0.62,10.97
86,FLL,3.24,0.32,10.96
87,RH,172.8,17.01,10.92
88,EVO,3.97,0.39,10.89
89,HUT,11.79,1.15,10.81
90,AVD,4.21,0.41,10.79
91,ELVN,17.97,1.75,10.79
92,GLTO,2.68,0.26,10.74
93,ARCT,12.17,1.17,10.64
94,SMR,15.09,1.45,10.63
95,FSLR,135.35,12.9,10.53
96,ATKR,62.66,5.93,10.45
97,AVTX,4.87,0.46,10.43
98,PAGS,9.35,0.88,10.39
99,FDMT,3.4,0.32,10.39
